url,title,body,has_marcos,has_sara,pub_year
https://www.rappler.com/philippines/marcos-downplays-sara-duterte-impeachment-rumors-november-2023/,Marcos on VP Sara Duterte: We don’t want her to be impeached,,True,True,2023
https://www.rappler.com/philippines/sara-duterte-report-k12-important-lessons-missing/,Sara Duterte: Important lessons missing in K to 12 curriculum,,False,True,2023
https://www.rappler.com/philippines/sara-duterte-promises-more-benefits-teachers-january-2024/,"Overtime pay, no admin tasks: Sara Duterte promises more benefits for teachers",,False,True,2024
https://www.rappler.com/philippines/elections/sara-dutete-joins-lakas-cmd-party-november-2021/,Sara Duterte joins Lakas-CMD,,False,True,2021
https://www.rappler.com/philippines/groups-reactions-sara-duterte-proposal-mandatory-military-service-filipino-youth/,Sara Duterte’s push for mandatory military service shows ‘true militarist nature’ – groups,,False,True,2022
https://www.rappler.com/philippines/sara-duterte-not-cooperate-icc-investigation-drug-war-human-rights/,Sara Duterte says she will not cooperate with ICC probe,,False,True,2024
https://www.rappler.com/philippines/top-approved-most-trusted-government-officials-pulse-asia-survey-march-2023/,"Sara Duterte is top-approved, most trusted gov’t official – Pulse poll",,False,True,2023
https://www.rappler.com/newsbreak/inside-track/estelito-mendoza-sara-duterte-lawyer-confidential-funds-case-supreme-court/,Estelito Mendoza is Sara Duterte’s lawyer for confidential funds case in SC,,False,True,2024
https://www.rappler.com/philippines/ex-quiboloy-follower-duterte-sara-left-kojc-glory-mountain-with-guns/,"Ex-Quiboloy follower: Duterte, Sara left KOJC’s ‘Glory Mountain’ with guns",,False,True,2024
https://www.rappler.com/philippines/mindanao/duterte-rodrigo-baste-paolo-snub-marcos-public-events-davao-city-february-2024/https://www.rappler.com/philippines/elections/profile-rodrigo-daughter-sara-duterte/,"Sara, the other Duterte",,False,True,2022
https://www.rappler.com/philippines/visayas/iloilo-bacolod-mayors-trenas-benitez-take-sides-back-first-lady-liza-marcos-amid-rift-sara-duterte/,"Iloilo, Bacolod mayors take sides, back First Lady amid rift with Sara Duterte",,False,True,2024
https://www.rappler.com/philippines/sara-duterte-promises-more-benefits-teachers-january-2024/,"Overtime pay, no admin tasks: Sara Duterte promises more benefits for teachers",,False,True,2024
https://www.rappler.com/philippines/elections/sara-duterte-endorses-senate-slate-friends-2022/,Sara Duterte endorses 7-man Senate slate of ‘friends’,,False,True,2022
https://www.rappler.com/newsbreak/inside-track/martin-romualdez-sara-duterte-public-display-friendship-after-rift-july-2023/,"Bati na ba talaga? Martin, Sara get cozy in public months after rift",,False,True,2023
https://www.rappler.com/philippines/sara-duterte-response-vice-presidential-bid-speaker-romualdez-no-part/,Sara Duterte: Romualdez had no part in urging me to run for VP,,False,True,2023
https://www.rappler.com/philippines/marcos-downplays-sara-duterte-liza-rift-shrugs-off-calls-fire-her-deped-april-2024/,"Marcos downplays Liza-Sara rift, shrugs off calls to sack DepEd chief",,True,True,2024
https://www.rappler.com/philippines/visayas/bacolod-teachers-hail-sara-duterte-resignation-seek-raise-reforms/,"Bacolod teachers hail Sara Duterte’s resignation, call for raise, reforms",,False,True,2024
https://www.rappler.com/newsbreak/inside-track/sara-duterte-dodges-issue-bags-guns-apollo-quiboloy/,Sara Duterte on getting ‘bags of guns’ from Quiboloy: I’m a target of presidential aspirants,,False,True,2024
https://www.rappler.com/philippines/246150-sara-duterte-slams-use-manila-song-sea-games-opening-ceremonies-2019/,Sara Duterte slams use of ‘Manila’ song in SEA Games opening,,False,True,2019
https://www.rappler.com/newsbreak/explainers/dangers-justifying-vice-president-sara-duterte-2022-confidential-funds/,The dangers of justifying VP Sara Duterte’s 2022 confidential funds,,False,True,2023
https://www.rappler.com/sports/ncaa/john-amores-gushes-over-letter-from-sara-duterte/,John Amores gushes over ‘encouraging’ letter from VP Sara Duterte,,False,True,2022
https://www.rappler.com/newsbreak/inside-track/sara-duterte-gloria-arroyo-courtesy-call-eduardo-manalo/,"Ang aga? Sara Duterte, Arroyo visit Iglesia ni Cristo leader Manalo",,False,True,2023
https://www.rappler.com/philippines/sara-duterte-asks-marcos-jr-congress-give-billions-fix-education-problems/,"Sara Duterte tells Marcos, Congress: Give me P100B, I’ll fix education in 6 years",,True,True,2022
https://www.rappler.com/philippines/mindanao/red-tagged-by-sara-duterte-davao-teacher-story-experience/,Red-tagged by Sara Duterte: A Davao teacher’s story,,False,True,2023
https://www.rappler.com/newsbreak/in-depth/sara-duterte-to-fix-education-if-given-billions-is-this-enough/,Sara Duterte to fix education in 6 years if given P100 billion. Is this enough?,,False,True,2022
https://www.rappler.com/voices/thought-leaders/slingshot-sara-duterte-millions-confidential-funds-ovp-discombobulates/,[The Slingshot] Sara’s P500 million discombobulates,,False,True,2022
https://www.rappler.com/newsbreak/fact-check/sara-duterte-still-vice-president-deped-secretary/,"FACT CHECK: Sara Duterte is still VP, DepEd secretary",,False,True,2024
https://www.rappler.com/voices/thought-leaders/vantage-point-sara-duterte-2028-elections/,[Vantage Point] Sara in 2028?,,False,True,2023
https://www.rappler.com/philippines/elections/gibo-teodoro-offers-sara-duterte-running-mate/,Gibo Teodoro offers to be Sara Duterte’s running mate,,False,True,2021
https://www.rappler.com/philippines/coa-flags-sara-duterte-ovp-over-immediate-creation-satellite-offices/,COA flags Sara Duterte’s OVP over immediate creation of satellite offices,,False,True,2023
https://www.rappler.com/philippines/sara-duterte-info-officer-admits-presence-beach-party-later-raided-for-drugs/,Sara Duterte info officer admits she was at beach party later raided for drugs,,False,True,2021
https://www.rappler.com/newsbreak/in-depth/how-sara-duterte-led-department-education/,How Sara Duterte led DepEd for 2 years,,False,True,2024
https://www.rappler.com/philippines/elections/marcos-jr-says-sara-duterte-education-secretary/,Sara Duterte will be education secretary – Marcos Jr.,,True,True,2022
https://www.rappler.com/voices/thought-leaders/pastilan-inday-sara-duterte-top-secret-curriculum-confidential-intelligence-funds/,[Pastilan] Inday Sara Duterte’s top-secret curriculum,,False,True,2023
https://www.rappler.com/philippines/office-vice-president-drops-request-confidential-funds-2024-budget/,"After backlash, Sara Duterte drops bid for P650-M confidential funds in 2024 budget",,False,True,2023
https://www.rappler.com/philippines/elections/sara-duterte-running-for-vice-president-2022/,Sara Duterte to run for vice president under Lakas-CMD,,False,True,2021
https://www.rappler.com/philippines/elections/225065-sara-duterte-calls-otso-diretso-bets-liars/,"Sara Duterte: All candidates lie, honesty not an issue",,False,True,2019
https://www.rappler.com/philippines/elections/duterte-says-sara-vice-president-run-decision-marcos-camp/,Duterte: ‘Sara’s VP run a decision by Marcos camp’,,True,True,2021
https://www.rappler.com/philippines/video-interview-who-opposition-is-after-sara-duterte-resignation-marcos-jr-cabinet-june-2024/,"Rappler Talk: If Sara Duterte is not the opposition, who is?",,False,True,2024
https://www.rappler.com/philippines/elections/willie-revillame-one-cebu-sara-duterte-endorsement/,One Cebu and Kuya Win pitch Sara Duterte for VP,,False,True,2022
https://www.rappler.com/philippines/elections/duterte-tells-sara-pick-bong-go-as-vp-or-support-tandem/,Duterte to Sara: Pick Bong Go as your VP or support our tandem,,False,True,2021
